TestCase,Test Scenario,Objective,Precondition,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail
TC_CK_01,TS_07 (Checkout),Validate navigating to Checkout page from Shopping cart page,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order","Product to add:
iphone 14 pro",The User should be taken to Checkout page,The User is taken to Checkout page,Pass
TC_CK_02,TS_07 (Checkout),Validate checkout without Sign in,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order","Product to add:
iphone 14 pro",The User should be taken to Checkout page and asked to Login,The User should be taken to Checkout page and asked to Login,Pass
TC_CK_03,TS_07 (Checkout),Validate checkout with sign in,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order","Product to add:
iphone 14 pro",The User should be taken to Checkout page and Sign in details under Login section,The User is taken to Checkout page and Sign in details under Login section,Pass
TC_CK_04,TS_07 (Checkout),Validate Logout and sign in to another account button in Login section,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Click Change button under login (ER-01)
4) Click Logout and sign in to another account (ER-02) ","Product to add:
iphone 14 pro","1) The Login section should expand to reveal Logout and sign in to another account option
2) The User should be redirected to login page","1) The Login section should expand to reveal Logout and sign in to another account option
2) The User should be redirected to login page",Pass
TC_CK_05,TS_07 (Checkout),Validate Continue checkout button in Login section,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Click Change button under login (ER-01)
4) Click Continue checkout (ER-02) ","Product to add:
iphone 14 pro","1) The Login section should expand to reveal Logout and sign in to another account option
2) The Login section should close and redirect user to Delivery Address section","1) The Login section should expand to reveal Logout and sign in to another account option
2) The Login section closes and redirects user to Delivery address section",Pass
TC_CK_06,TS_07 (Checkout),Validate Delivery Address section for Use my current location button,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Click Use my current location button (ER-01, ER-2)
4) Click Confirm address (ER-03)","Product to add:
iphone 14 pro","1) The address should be detected using gps in pc and should display Pincode, district and State
2) Two buttons should be displayed ""Confirm address"" and ""Cancel""
3) The Pincode, state, Address (Area and street) fields should be filled with fields in add address section",1) The address displayed is wrong,Fail
TC_CK_07,TS_07 (Checkout),Validate Delivery Address section for Use my current location button and cancel button in that section,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Click Use my current location button (ER-01, ER-2)
4) Click Cancel (ER-03)","Product to add:
iphone 14 pro","1) The address should be detected using gps in pc and should display Pincode, district and State
2) Two buttons should be displayed ""Confirm address"" and ""Cancel""
3) The Pincode, state, Address (Area and street) fields should not be filled with fields in add address section",1) The address displayed is wrong,Fail
TC_CK_08,TS_07 (Checkout),Validate Delivery address section's add new address fields with filling mandatory fields with Home as delivery type,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Fill all the mandatory fields and select home as Address type
4) Click Save and deliver here","Product to add:
iphone 14 pro",The address should be added to account and proceed to order summary section,The address is added to account and proceed to order summary section,Pass
TC_CK_09,TS_07 (Checkout),Validate Delivery address section's add new address fields with filling all fields with Home as delivery type,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Fill all the fields and select home as Address type
4) Click Save and deliver here","Product to add:
iphone 14 pro",The address should be added to account and proceed to order summary section,The address is added to account and proceed to order summary section,Pass
TC_CK_10,TS_07 (Checkout),Validate Delivery address section's add new address fields with filling mandatory fields with Work as delivery type,"1) Open the site ""https://www.flipkart.com"" in any supported browser
2) Sign in using valid credentials
3) Add a product to cart","1) Click on the Cart button in header
2) Click Place Order
3) Fill all the mandatory fields and select Work as Address type
4) Click Save and deliver here","Product to add:
iphone 14 pro",The address should be added to account and proceed to order summary section,The address is added to account and proceed to order summary section,Pass
