TestCase,Test Scenario,Objective,Precondition,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail
TC_LG_01,TS_01 (Login),Validate navigating to Login panel from HomePage,"1) Open the site ""https://www.flipkart.com"" in any supported browser",1) Click Sign in dropdown / Login Button in the header,,The Login panel should open,The Login panel is opened,Pass
TC_LG_02,TS_01 (Login),Validate navigating to Login panel from Sign Up,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Sign in dropdown in the header and click Sign up
2) Click ""Existing User? Log in""",,The Login panel should open,The Login panel is opened,Pass
TC_LG_03,TS_01 (Login),Validate the Email/Mobile number field for valid existing Mobile number,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number
3) Click Request OTP",Valid Existing Mobile Number,The User should be taken to OTP page and OTP should be sent to the mobile number,The User is taken to OTP page and OTP is sent to the mobile number,Pass
TC_LG_04,TS_01 (Login),Validate OTP page for valid OTP for Mobile number,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number
3) Click Request OTP
4) Fill the OTP field with valid numerical value we recieved in SMS
5) Click Verify",Valid OTP we recieved in SMS,The User shoud be taken to HomePage and the Sign in Button should be changed to Account Button,The User is taken to HomePage and the Sign in Button is changed to Account Button,Pass
TC_LG_05,TS_01 (Login),Validate the Email/Mobile number field for valid existing Email ID,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Email ID
3) Click Request OTP",Valid Existing Email ID,The User should be taken to OTP page and OTP should be sent to the Email ID,The User is taken to OTP page and OTP is sent to the Email ID,Pass
TC_LG_06,TS_01 (Login),Validate OTP page for valid OTP for Mail ID,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Email ID
3) Click Request OTP
4) Fill the OTP field with valid numerical value we recieved in Mail
5) Click Verify",Valid OTP we recieved in our Mail ID,The User shoud be taken to HomePage and the Sign in Button should be changed to Account Button,The User is taken to HomePage and the Sign in Button is changed to Account Button,Pass
TC_LG_07,TS_01 (Login),Validatw OTP page for wrong OTP,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Email ID
3) Click Request OTP
4) Fill the OTP field with wrong OTP
5) Click Verify",,"It should show the error message ""OTP is incorrect"" and stay in the page","It shows the error message ""OTP is incorrect"" and stays in the page",Pass
TC_LG_08,TS_01 (Login),Validate the Email/Mobile number field for invalid Mobile Number in Login Page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with invalid Mobile Number
3) Click Request OTP","Invalid Mobile Number:
1) 2
2) 12244
3) 123456789
4) 12345678901","The Email/Mobile number should show the error ""Please enter valid Email ID/Mobile number""","The Email/Mobile number shows the error ""Please enter valid Email ID/Mobile number""",Pass
TC_LG_09,TS_01 (Login),Validate the Email/Mobile number field for invalid Email ID in Login Page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with invalid Email ID
3) Click Request OTP","Invalid Email Number:
1) test
2) test@
3) test@mail
4) test@mail.","The Email/Mobile number should show the error ""Please enter valid Email ID/Mobile number""","The Email/Mobile number shows the error ""Please enter valid Email ID/Mobile number""",Pass
TC_LG_10,TS_01 (Login),Validate Filling Mobile Number reveals the ISD code selection dropdown,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Start Filling the Email/Mobile number with valid Mobile Number
3) Click Request OTP",Valid Existing Mobile Number,The ISD code selection dropdown should appear and all the Valid ISD codes should be available to select,The ISD code selection dropdown appears and all the Valid ISD codes is available to select,Pass
