TestCase,Test Scenario,Objective,Precondition,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail
TC_SE_01,TS_04 (Search),Validate searching existing product,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with an existing product
3) Click the search icon","Search text:
Iphone 14 pro",The User should be taken to product list page with list of products relevant to search text,The User is taken to product list page with list of products relevant to search text,Pass
TC_SE_02,TS_04 (Search),Validate searching existing product by clicking ENTER button in keyboard,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with an existing product
3) Click the ENTER button in keyboard","Search text:
Iphone 14 pro",The User should be taken to product list page with list of products relevant to search text,The User is taken to product list page with list of products relevant to search text,Pass
TC_SE_03,TS_04 (Search),Validate searching non existing product,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with a non existing product
3) Click the search icon",,"The User should be taken to product list page with ""Sorry, no results found!
Please check the spelling or try searching for something else"" text","The User is taken to product list page with ""Sorry, no results found!
Please check the spelling or try searching for something else"" text",Pass
TC_SE_04,TS_04 (Search),Validate Search button for empty field,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Click the search icon or ENTER button",,Clicking the Search button should not do anything,Clicking the Search button does not do anything,Pass
TC_SE_05,TS_04 (Search),Validate the Search button for empty spaces,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with only spaces
3) Click the search icon",,Clicking the Search button should not do anything,Clicking the Search button does not do anything,Pass
TC_SE_06,TS_04 (Search),Validate the Search button trims leading and trailing spaces,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with existing product with leading and trailing spaces
3) Click the search icon","Search text:
     Iphone 14 pro     ",The User should be taken to product list page with list of products relevant to search text after trimming spaces,The User is taken to product list page with list of products relevant to search text after trimming spaces,Pass
TC_SE_07,TS_04 (Search),Validate the Search autocorrection,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with existing product with spelling mistakes
3) Click the search icon (ER-01, ER-02)","Search Term:
ipone 14 pro","1) The User should be taken to product list page with list of products relevant to search text after spelling mistakes
2) The Producft list page should have search instead button with original text we entered",The User is taken to product list page with list of products relevant to search text after spelling mistakes,Pass
TC_SE_08,TS_04 (Search),Validate the Search recommendation,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Start filling the textfield with an existing product","Search Term:
iphone 14 pro",The Search field should show recommendation after typing a few a few alphabets,The Search field shows recommendation after typing a few a few alphabets,Pass
TC_SE_09,TS_04 (Search),Validate empty Search bar shows discover more section,"1) Open the site ""https://www.flipkart.com"" in any supported browser",1) Click on the Search Bar at the top,,The Search bar should show discover more section with a few products,The Search bar shows discover more section with a few products,Pass
TC_SE_10,TS_04 (Search),Validate the breadcrumb of the product list page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click on the Search Bar at the top
2) Fill the textfield with an existing product
3) Click the search icon","Search text:
Iphone 14 pro",The breadcrumb at the top should be visble and working,The breadcrumb at the top is visble and working,Pass
