Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Link),Epic Link Summary,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
"As a user, I want to access the options in Header and Footer",OP-55,10066,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:15 AM,03/Jul/23 1:16 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-57,Header and Footer,,,,,0|i000cx:,,,,,,,,,,,10068,Header and Footer,To Do
"As a user, I want to access Brands page",OP-54,10065,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:15 AM,03/Jul/23 1:15 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-56,Extras,,,,,0|i000dj:,,,,,,,,,,,10067,Extras,To Do
"As a user, I want to access Specials page to get special offers",OP-53,10064,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:15 AM,03/Jul/23 1:15 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-56,Extras,,,,,0|i000db:,,,,,,,,,,,10067,Extras,To Do
"As a user, I want to use Sitemap to navigate pages in the Web app",OP-52,10063,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:14 AM,03/Jul/23 1:15 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-51,Customer Services,,,,,0|i000cz:,,,,,,,,,,,10062,Customer Services,To Do
"As a user, I want to use contact page to solve issues",OP-50,10061,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:14 AM,03/Jul/23 1:14 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-51,Customer Services,,,,,0|i000cv:,,,,,,,,,,,10062,Customer Services,To Do
"As a user, I want to generate affiliate link to get affiliate payment",OP-49,10060,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:14 AM,03/Jul/23 1:14 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-47,Affiliate,,,,,0|i000cn:,,,,,,,,,,,10058,Affiliate,To Do
"As a user, I want to register and edit affiliate account",OP-48,10059,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-47,Affiliate,,,,,0|i000cf:,,,,,,,,,,,10058,Affiliate,To Do
"As a user, I want to toggle newsletter",OP-46,10057,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-41,My Account,,,,,0|i000bz:,,,,,,,,,,,10052,My Account,To Do
"As a user, I want to get reward points for my orders",OP-45,10056,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-41,My Account,,,,,0|i000br:,,,,,,,,,,,10052,My Account,To Do
"As a user, I want to add and edit addresses",OP-44,10055,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-41,My Account,,,,,0|i000bj:,,,,,,,,,,,10052,My Account,To Do
"As a user, I want to change password",OP-43,10054,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-41,My Account,,,,,0|i000bb:,,,,,,,,,,,10052,My Account,To Do
"As a user, I want to edit the account details",OP-42,10053,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:13 AM,03/Jul/23 1:13 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-41,My Account,,,,,0|i000b3:,,,,,,,,,,,10052,My Account,To Do
"As a user, I want to compare the details of the products",OP-40,10051,Story,To Do,OP,OpenCart,software,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,Medium,,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,03/Jul/23 1:12 AM,03/Jul/23 1:12 AM,08/Jul/23 8:26 PM,,,0,,,Ranjith C,712020:636c0502-f635-4052-aa59-3cd2e1380656,,,,,,,,,,,,,,,,,OP-39,Product Compare,,,,,0|i000an:,,,,,,,,,,,10050,Product Compare,To Do
